week,is_playoffs,is_consolation,team_1_key,team_1_nickname,team_1_points,team_1_projected_points,is_bye,team_2_key,team_2_nickname,team_2_points,team_2_projected_points
1,False,False,390.l.1031063.t.7,Tony F,117.76,136.64,False,390.l.1031063.t.6,Jeff Big,114.14,131.98
2,False,False,390.l.1031063.t.7,Tony F,115.52,125.16,False,390.l.1031063.t.4,august,140.76,136.17
3,False,False,390.l.1031063.t.7,Tony F,92.12,129.08,False,390.l.1031063.t.11,nate,144.76,142.95
4,False,False,390.l.1031063.t.7,Tony F,126.4,126.35,False,390.l.1031063.t.12,Zach,116.00,130.70
5,False,False,390.l.1031063.t.7,Tony F,127.56,126.96,False,390.l.1031063.t.2,Andrew,132.44,113.72
6,False,False,390.l.1031063.t.7,Tony F,116.7,125.18,False,390.l.1031063.t.8,Ben,124.72,127.76
7,False,False,390.l.1031063.t.7,Tony F,107.28,121.13,False,390.l.1031063.t.9,Joe,97.54,132.36
8,False,False,390.l.1031063.t.7,Tony F,111.46,134.18,False,390.l.1031063.t.10,Steven,147.40,124.15
9,False,False,390.l.1031063.t.7,Tony F,133.9,132.49,False,390.l.1031063.t.3,Alex Zara,101.34,114.11
10,False,False,390.l.1031063.t.7,Tony F,142.44,122.66,False,390.l.1031063.t.1,WH,137.08,129.33
11,False,False,390.l.1031063.t.7,Tony F,133.34,130.9,False,390.l.1031063.t.5,Brian,135.88,119.63
12,False,False,390.l.1031063.t.7,Tony F,145.8,125.47,False,390.l.1031063.t.6,Jeff Big,110.32,117.74
13,False,False,390.l.1031063.t.7,Tony F,129.58,130.86,False,390.l.1031063.t.4,august,122.74,131.41
14,True,False,390.l.1031063.t.7,Tony F,131.0,132.39,False,390.l.1031063.t.5,Brian,116.40,129.71
15,True,False,390.l.1031063.t.7,Tony F,134.26,139.67,False,390.l.1031063.t.12,Zach,115.48,124.47
16,True,False,390.l.1031063.t.7,Tony F,138.06,133.07,False,390.l.1031063.t.8,Ben,133.50,128.44
1,False,False,390.l.1031063.t.8,Ben,173.32,133.29,False,390.l.1031063.t.3,Alex Zara,90.76,131.62
2,False,False,390.l.1031063.t.8,Ben,92.04,131.08,False,390.l.1031063.t.1,WH,93.60,129.64
3,False,False,390.l.1031063.t.8,Ben,135.04,132.93,False,390.l.1031063.t.5,Brian,77.18,126.25
4,False,False,390.l.1031063.t.8,Ben,117.32,133.06,False,390.l.1031063.t.6,Jeff Big,103.84,125.53
5,False,False,390.l.1031063.t.8,Ben,130.18,121.51,False,390.l.1031063.t.4,august,158.62,133.70
6,False,False,390.l.1031063.t.8,Ben,124.72,127.76,False,390.l.1031063.t.7,Tony F,116.70,125.18
7,False,False,390.l.1031063.t.8,Ben,93.06,114.93,False,390.l.1031063.t.12,Zach,101.06,114.33
8,False,False,390.l.1031063.t.8,Ben,95.04,100.06,False,390.l.1031063.t.2,Andrew,125.78,123.80
9,False,False,390.l.1031063.t.8,Ben,136.48,114.43,False,390.l.1031063.t.11,nate,98.64,128.32
10,False,False,390.l.1031063.t.8,Ben,109.28,115.1,False,390.l.1031063.t.9,Joe,134.58,108.16
11,False,False,390.l.1031063.t.8,Ben,149.56,120.28,False,390.l.1031063.t.10,Steven,88.40,123.27
12,False,False,390.l.1031063.t.8,Ben,124.38,132.07,False,390.l.1031063.t.3,Alex Zara,104.86,112.77
13,False,False,390.l.1031063.t.8,Ben,143.9,120.89,False,390.l.1031063.t.1,WH,80.26,130.77
15,True,False,390.l.1031063.t.8,Ben,140.08,131.25,False,390.l.1031063.t.4,august,130.60,129.34
16,True,False,390.l.1031063.t.8,Ben,133.5,128.44,False,390.l.1031063.t.7,Tony F,138.06,133.07
1,False,False,390.l.1031063.t.4,august,163.82,126.46,False,390.l.1031063.t.11,nate,132.42,134.23
2,False,False,390.l.1031063.t.4,august,140.76,136.17,False,390.l.1031063.t.7,Tony F,115.52,125.16
3,False,False,390.l.1031063.t.4,august,167.94,142.71,False,390.l.1031063.t.12,Zach,134.12,133.42
4,False,False,390.l.1031063.t.4,august,104.4,127.51,False,390.l.1031063.t.2,Andrew,91.40,110.30
5,False,False,390.l.1031063.t.4,august,158.62,133.7,False,390.l.1031063.t.8,Ben,130.18,121.51
6,False,False,390.l.1031063.t.4,august,132.66,126.29,False,390.l.1031063.t.9,Joe,143.90,124.84
7,False,False,390.l.1031063.t.4,august,115.96,118.74,False,390.l.1031063.t.10,Steven,124.40,123.90
8,False,False,390.l.1031063.t.4,august,131.96,131.04,False,390.l.1031063.t.3,Alex Zara,160.00,129.23
9,False,False,390.l.1031063.t.4,august,124.3,122.74,False,390.l.1031063.t.1,WH,139.60,127.18
10,False,False,390.l.1031063.t.4,august,101.02,111.08,False,390.l.1031063.t.5,Brian,118.52,132.58
11,False,False,390.l.1031063.t.4,august,108.74,125.59,False,390.l.1031063.t.6,Jeff Big,70.62,117.21
12,False,False,390.l.1031063.t.4,august,149.4,121.16,False,390.l.1031063.t.11,nate,120.34,112.24
13,False,False,390.l.1031063.t.4,august,122.74,131.41,False,390.l.1031063.t.7,Tony F,129.58,130.86
14,True,False,390.l.1031063.t.4,august,129.26,117.82,False,390.l.1031063.t.1,WH,127.92,131.70
15,True,False,390.l.1031063.t.4,august,130.6,129.34,False,390.l.1031063.t.8,Ben,140.08,131.25
16,True,False,390.l.1031063.t.4,august,120.12,128.54,False,390.l.1031063.t.12,Zach,77.06,104.46
