name,team_key,number_of_moves,number_of_trades,clinched_playoffs,manager_name,division_id,draft_grade,rank,points_for,points_against,wins,losses
Tity Boi,390.l.1031063.t.7,41,0,True,Tony F,,C+,1,1599.86,1625.12,7,6
MA THE MEATLOAF,390.l.1031063.t.8,27,2,True,Ben,,B-,2,1624.32,1374.28,8,5
Patriots 2.0,390.l.1031063.t.4,32,1,True,august,,D,3,1722.32,1610.6,7,6
Zach's Fabulous Team,390.l.1031063.t.12,17,2,True,Zach,,B,4,1537.94,1490.72,9,4
Lamar and his bros,390.l.1031063.t.5,26,2,True,Brian,,B,5,1561.88,1534.68,8,5
Half Chubb,390.l.1031063.t.1,61,4,True,WH,,C,6,1630.5,1552.34,7,6
Steve/Zara not Geoff,390.l.1031063.t.6,55,4,False,Jeff Big,,B+,7,1392.9,1657.9,4,9
Galloping Gobblers,390.l.1031063.t.10,36,1,False,Steven,,B,8,1489.26,1583.76,5,8
Andrew's Team,390.l.1031063.t.2,38,0,False,Andrew,,B+,9,1451.5,1494.86,7,6
nate's Dazzling Team,390.l.1031063.t.11,19,0,False,nate,,B,10,1649.92,1537.08,6,7
Saquon beef,390.l.1031063.t.3,29,3,False,Alex Zara,,A-,11,1515.68,1701.8,4,9
Smokin w/ Gordon,390.l.1031063.t.9,18,1,False,Joe,,C+,12,1546.2,1559.14,6,7
