name,team_key,manager_name,league_id,league_season,player_id
Tity Boi,273.l.838679.t.8,Tony F,1,2012,9
chief keefers,273.l.838679.t.5,Michael,1,2012,4
dsadgfgwww,273.l.838679.t.9,--hidden--,1,2012,-1
Yung Lil Marka FLOCK,273.l.838679.t.4,Marcus,1,2012,3
3 dudes and a cat,273.l.838679.t.12,Marcus,1,2012,-1
Ryan,273.l.838679.t.3,isaiah m,1,2012,13
Vincent Offer,273.l.838679.t.6,Adam,1,2012,11
schWINNING,273.l.838679.t.10,Richard,1,2012,6
dreamchasers,273.l.838679.t.11,Wycoff,1,2012,10
Isaiah,273.l.838679.t.2,Ryan,1,2012,7
Sandusky's Shower,273.l.838679.t.1,Alex,1,2012,63
Last Kings,273.l.838679.t.7,Diego,1,2012,1
TOP SZN,331.l.661280.t.5,Diego,1,2014,1
Tity Boi,331.l.661280.t.6,Tony F,1,2014,9
Chief Keefers,331.l.661280.t.11,Michael,1,2014,4
schWINNING,331.l.661280.t.1,Richard,1,2014,6
Stevie Bratwurst,331.l.661280.t.8,Steve,1,2014,8
Domestic Dispute,331.l.661280.t.7,Knighter05,1,2014,2
Sarah Cockrag,331.l.661280.t.3,Alex,1,2014,63
KillaKid_MofoGangsta,331.l.661280.t.10,Ryan,1,2014,7
Imran,331.l.661280.t.12,imran,1,2014,12
OJ's Legal Team,331.l.661280.t.9,adam,1,2014,11
You Just Got Mrc'd,331.l.661280.t.2,Marcus,1,2014,3
Numba 1 in ya heart,331.l.661280.t.4,isaiah m,1,2014,13
Domestic Dispute,348.l.464735.t.4,Knighter05,1,2015,2
OJ's Legal Team,348.l.464735.t.10,Adam,1,2015,11
Mack dat @ss up,348.l.464735.t.6,isaiah m,1,2015,13
schWINNING,348.l.464735.t.1,Richard,1,2015,6
Jimmy Dean,348.l.464735.t.5,Alex,1,2015,63
6 Gods,348.l.464735.t.2,Diego,1,2015,1
You Just Got Mrc'd,348.l.464735.t.7,Marcus,1,2015,3
Cleveland Browns,348.l.464735.t.11,imran,1,2015,12
Chief Keefers,348.l.464735.t.12,michael,1,2015,4
Tity Boi,348.l.464735.t.8,Tony F,1,2015,9
KillaKid_MofoGangsta,348.l.464735.t.9,Ryan,1,2015,7
Stevie Bratwurst,348.l.464735.t.3,Steve,1,2015,8
Rip Harambe,359.l.18316.t.5,Alex,1,2016,63
Chief Keefers,359.l.18316.t.2,michael,1,2016,4
WhatCha Making?,359.l.18316.t.7,isaiah m,1,2016,13
Tity Boi,359.l.18316.t.11,Tony F,1,2016,9
Sharcus,359.l.18316.t.12,Marcus,1,2016,3
OJ's Legal Team,359.l.18316.t.8,Adam,1,2016,11
KillaKid_MofoGangsta,359.l.18316.t.6,Ryan,1,2016,7
6 Gods,359.l.18316.t.1,Diego,1,2016,1
Domestic Dispute,359.l.18316.t.4,Knighter05,1,2016,2
Maren,359.l.18316.t.3,imran,1,2016,12
schWINNING,359.l.18316.t.9,Richard,1,2016,6
Stevie Bratwurst,359.l.18316.t.10,Steve,1,2016,8
TOP SZN,380.l.951129.t.3,Diego,1,2018,1
schWINNING,380.l.951129.t.8,Richard,1,2018,6
Rip Harambe,380.l.951129.t.1,Alex,1,2018,63
OJ's Legal Team,380.l.951129.t.7,Adam,1,2018,11
Chief keefers,380.l.951129.t.4,michael,1,2018,4
TITY BOI,380.l.951129.t.11,Tony F,1,2018,9
Taking A Nap,380.l.951129.t.12,isaiah m,1,2018,13
Domestic Dispute,380.l.951129.t.2,Knighter05,1,2018,2
Sharcus,380.l.951129.t.9,Marcus,1,2018,3
Stevie Bratwurst,380.l.951129.t.10,Steve,1,2018,8
Ryan’s One-Hitter,380.l.951129.t.6,imran,1,2018,12
KillaKid_MofoGangsta,380.l.951129.t.5,Ryan,1,2018,7
Stevie Bratwurst,390.l.763777.t.10,Steve,1,2019,8
Litty w/ Tity,390.l.763777.t.1,Tony F,1,2019,9
Sharcus,390.l.763777.t.9,Marcus,1,2019,3
Unfair Trader,390.l.763777.t.8,Richard,1,2019,6
Ryan’s One-Hitter,390.l.763777.t.7,imran,1,2019,12
Fuck PPR,390.l.763777.t.2,michael,1,2019,4
TOP SZN,390.l.763777.t.12,Diego,1,2019,1
Domestic Dispute,390.l.763777.t.3,Knighter05,1,2019,2
OJ's Legal Team,390.l.763777.t.5,Adam,1,2019,11
Rip Harambe,390.l.763777.t.6,Alex,1,2019,63
KillaKid_MofoGangsta,390.l.763777.t.4,Ryan,1,2019,7
Taking A Nap,390.l.763777.t.11,isaiah m,1,2019,13
TITY BOI,399.l.627892.t.1,Tony F,1,2020,9
Stevie Bratwurst,399.l.627892.t.10,Steve,1,2020,8
Sharcus,399.l.627892.t.9,Marcus,1,2020,3
Uncle Rico,399.l.627892.t.8,Richard,1,2020,6
Rip Harambe,399.l.627892.t.6,Alex,1,2020,63
TOP SZN,399.l.627892.t.12,Diego,1,2020,1
Domestic Dispute,399.l.627892.t.3,Knighter05,1,2020,2
Sleepy Joe Burrow,399.l.627892.t.5,Adam,1,2020,11
Ryan’s One-Hitter,399.l.627892.t.7,imran,1,2020,12
Taking A Nap,399.l.627892.t.11,isaiah m,1,2020,13
KillaKid_MofoGangsta,399.l.627892.t.4,Ryan,1,2020,7
